Distance (mm),Radius Counts
13.5025,0
13.557500000000001,0
13.6125,0
13.6675,0
13.7225,0
13.7775,0
13.8325,0
13.8875,0
13.9425,0
13.9975,0
14.0525,0
14.1075,0
14.1625,0
14.2175,0
14.2725,0
14.3275,0
14.3825,0
14.4375,0
14.4925,0
14.5475,0
14.6025,0
14.6575,0
14.7125,0
14.7675,0
14.8225,0
14.8775,0
14.932500000000001,0
14.9875,0
15.0425,0
15.0975,0
15.1525,0
15.2075,0
15.2625,0
15.3175,0
15.3725,0
15.4275,0
15.4825,0
15.5375,0
15.5925,0
15.6475,0
15.7025,0
15.7575,0
15.8125,0
15.8675,0
15.9225,0
15.9775,0
16.0325,0
16.0875,0
16.1425,0
16.1975,0
16.2525,0
16.3075,0
16.3625,0
16.4175,0
16.4725,0
16.5275,0
16.5825,0
16.6375,0
16.6925,0
16.7475,0
16.802500000000002,0
16.8575,0
16.9125,0
16.9675,0
17.0225,0
17.0775,0
17.1325,0
17.1875,0
17.2425,0
17.2975,0
17.3525,0
17.4075,0
17.4625,0
17.5175,0
17.5725,0
17.6275,0
17.6825,0
17.7375,0
17.7925,0
17.8475,0
17.9025,0
17.9575,0
18.0125,0
18.0675,0
18.1225,0
18.177500000000002,0
18.2325,0
18.2875,0
18.3425,0
18.3975,0
18.4525,0
18.5075,0
18.5625,0
18.6175,0
18.6725,0
18.7275,0
18.7825,0
18.8375,0
18.8925,0
18.9475,0
19.0025,0
19.0575,0
19.1125,0
19.1675,0
19.2225,0
19.2775,0
19.3325,0
19.3875,0
19.4425,0
19.4975,0
19.552500000000002,0
19.6075,0
19.6625,0
19.7175,0
19.7725,0
19.8275,0
19.8825,0
19.9375,0
19.9925,0
20.0475,0
20.1025,0
20.1575,0
20.2125,0
20.2675,0
20.3225,0
20.3775,0
20.4325,0
20.4875,0
20.5425,0
20.5975,0
20.6525,0
20.7075,0
20.7625,0
20.8175,0
20.8725,0
20.927500000000002,0
20.9825,0
21.0375,0
21.0925,0
21.1475,0
21.2025,0
21.2575,0
21.3125,0
21.3675,0
21.4225,0
21.4775,0
21.5325,0
21.5875,0
21.6425,0
21.6975,0
21.7525,0
21.8075,0
21.8625,0
21.9175,0
21.9725,0
22.0275,0
22.0825,0
22.1375,0
22.1925,0
22.2475,0
22.302500000000002,0
22.3575,0
22.4125,0
22.4675,0
22.5225,0
22.5775,0
22.6325,0
22.6875,0
22.7425,0
22.7975,0
22.8525,0
22.9075,0
22.9625,0
23.0175,0
23.0725,0
23.1275,0
23.1825,0
23.2375,0
23.2925,0
23.3475,0
23.4025,0
23.4575,0
23.5125,0
23.5675,0
23.6225,0
23.677500000000002,0
23.7325,0
23.7875,0
23.8425,0
23.8975,0
23.9525,0
24.0075,0
24.0625,0
24.1175,0
24.1725,0
24.2275,0
24.2825,0
24.3375,0
24.3925,0
24.4475,0
24.5025,0
24.5575,0
24.6125,0
24.6675,0
24.7225,0
24.7775,0
24.8325,0
24.8875,0
24.9425,0
24.9975,0
25.052500000000002,0
25.1075,0
25.1625,0
25.2175,0
25.2725,0
25.3275,0
25.3825,0
25.4375,0
25.4925,0
25.5475,0
25.6025,0
25.6575,0
25.7125,0
25.7675,0
25.8225,0
25.8775,0
25.9325,0
25.9875,0
26.0425,0
26.0975,0
26.1525,0
26.2075,0
26.2625,0
26.3175,0
26.3725,0
26.427500000000002,0
26.4825,0
26.5375,0
26.5925,0
26.6475,0
26.7025,0
26.7575,0
26.8125,0
26.8675,0
26.9225,0
26.9775,0
27.0325,0
27.0875,0
27.1425,0
27.1975,0
27.2525,0
27.3075,0
27.3625,0
27.4175,0
27.4725,0
27.5275,0
27.5825,0
27.6375,0
27.6925,0
27.7475,0
27.802500000000002,0
27.8575,0
27.9125,0
27.9675,0
28.0225,0
28.0775,0
28.1325,0
28.1875,0
28.2425,0
28.2975,0
28.3525,0
28.4075,0
28.4625,0
28.5175,0
28.5725,0
28.6275,0
28.6825,0
28.7375,0
28.7925,0
28.8475,0
28.9025,0
28.9575,0
29.0125,0
29.0675,0
29.1225,0
29.177500000000002,0
29.2325,0
29.2875,0
29.3425,0
29.3975,0
29.4525,0
29.5075,0
29.5625,0
29.6175,0
29.6725,0
29.7275,0
29.7825,0
29.8375,0
29.8925,0
29.9475,0
